Row no.,Region,Month:,Year:,Year & moths, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
1,Andhra Pradesh,1,2020,202001, 31-01-2020, M,5.48,16635535,41.02
2,Andhra Pradesh,2,2020,202002, 29-02-2020, M,5.83,16545652,40.9
3,Andhra Pradesh,3,2020,202003, 31-03-2020, M,5.79,15881197,39.18
4,Andhra Pradesh,4,2020,202004, 30-04-2020, M,20.51,11336911,33.1
5,Andhra Pradesh,5,2020,202005, 31-05-2020, M,17.43,12988845,36.46
6,Andhra Pradesh,6,2020,202006, 30-06-2020, M,3.31,19805400,47.41
7,Andhra Pradesh,7,2020,202007, 31-07-2020, M,8.34,15431615,38.91
8,Andhra Pradesh,8,2020,202008, 31-08-2020, M,6.96,15251776,37.83
9,Andhra Pradesh,9,2020,202009, 30-09-2020, M,6.4,15220312,37.47
10,Andhra Pradesh,10,2020,202010, 31-10-2020, M,6.64,15140379,37.32
11,Andhra Pradesh,11,2020,202011, 30-11-2020, M,6.02,15478231,37.84
12,Andhra Pradesh,12,2020,202012, 31-12-2020, M,6.71,15854431,39
13,Andhra Pradesh,1,2021,202101, 31-01-2021, M,4.48,16516412,39.62
14,Andhra Pradesh,2,2021,202102, 28-02-2021, M,3.74,16736552,39.78
15,Andhra Pradesh,3,2021,202103, 31-03-2021, M,5.88,15752408,38.24
16,Andhra Pradesh,4,2021,202104, 30-04-2021, M,4.91,15834266,37.99
17,Andhra Pradesh,5,2021,202105, 31-05-2021, M,12.83,15092065,39.44
18,Andhra Pradesh,6,2021,202106, 30-06-2021, M,7.43,15559239,38.24
19,Andhra Pradesh,7,2021,202107, 31-07-2021, M,8.68,15485255,38.52
20,Andhra Pradesh,8,2021,202108, 31-08-2021, M,6.49,16159788,39.2
21,Andhra Pradesh,9,2021,202109, 30-09-2021, M,6.07,16977784,40.94
22,Andhra Pradesh,10,2021,202110, 31-10-2021, M,5.37,15875697,37.95
23,Andhra Pradesh,11,2021,202111, 30-11-2021, M,6.33,15849249,38.22
24,Andhra Pradesh,12,2021,202112, 31-12-2021, M,5.62,16915954,40.43
25,Andhra Pradesh,1,2022,202201, 31-01-2022, M,6.17,15675627,37.63
26,Andhra Pradesh,2,2022,202202, 28-02-2022, M,7.1,15515845,37.57
27,Andhra Pradesh,3,2022,202203, 31-03-2022, M,9.16,15285329,37.79
28,Andhra Pradesh,4,2022,202204, 30-04-2022, M,5.3,16598072,39.31
29,Andhra Pradesh,5,2022,202205, 31-05-2022, M,4.37,15968048,37.39
30,Andhra Pradesh,6,2022,202206, 30-06-2022, M,4.48,14926433,34.95
31,Andhra Pradesh,7,2022,202207, 31-07-2022, M,5.81,15624639,37.04
32,Andhra Pradesh,8,2022,202208, 31-08-2022, M,5.97,16017287,37.98
33,Andhra Pradesh,9,2022,202209, 30-09-2022, M,4.75,16305202,38.12
34,Andhra Pradesh,10,2022,202210, 31-10-2022, M,5.37,14433732,33.91
35,Andhra Pradesh,11,2022,202211, 30-11-2022, M,9.04,14936831,36.46
36,Andhra Pradesh,12,2022,202212, 31-12-2022, M,7.7,16008598,38.45
37,Andhra Pradesh,1,2023,202301, 31-01-2023, M,5.55,16012712,37.53
38,Assam,1,2020,202001, 31-01-2020, M,4.66,13051904,52.98
39,Assam,2,2020,202002, 29-02-2020, M,4.41,10088268,40.77
40,Assam,3,2020,202003, 31-03-2020, M,4.77,11542888,46.73
41,Assam,4,2020,202004, 30-04-2020, M,11.06,6830817,29.55
42,Assam,5,2020,202005, 31-05-2020, M,9.55,11367897,48.26
43,Assam,6,2020,202006, 30-06-2020, M,0.6,9095944,35.07
44,Assam,7,2020,202007, 31-07-2020, M,3.77,10286757,40.88
45,Assam,8,2020,202008, 31-08-2020, M,5.53,9781310,39.52
46,Assam,9,2020,202009, 30-09-2020, M,1.19,14107641,54.38
47,Assam,10,2020,202010, 31-10-2020, M,3.02,11949329,46.84
48,Assam,11,2020,202011, 30-11-2020, M,3.98,10901371,43.07
49,Assam,12,2020,202012, 31-12-2020, M,7.64,10482404,42.97
50,Assam,1,2021,202101, 31-01-2021, M,1.53,13177962,50.57
51,Assam,2,2021,202102, 28-02-2021, M,1.65,11283161,43.27
52,Assam,3,2021,202103, 31-03-2021, M,1.06,11122329,42.31
53,Assam,4,2021,202104, 30-04-2021, M,0.19,10349575,38.95
54,Assam,5,2021,202105, 31-05-2021, M,0.05,15248170,57.19
55,Assam,6,2021,202106, 30-06-2021, M,0.62,10234141,38.53
56,Assam,7,2021,202107, 31-07-2021, M,1.9,11247012,42.81
57,Assam,8,2021,202108, 31-08-2021, M,6.65,10228186,40.83
58,Assam,9,2021,202109, 30-09-2021, M,3.51,16133085,62.18
59,Assam,10,2021,202110, 31-10-2021, M,3.7,11196548,43.15
60,Assam,11,2021,202111, 30-11-2021, M,4.12,10476421,40.47
61,Assam,12,2021,202112, 31-12-2021, M,5.82,11737225,46.07
62,Assam,1,2022,202201, 31-01-2022, M,8.52,14568405,58.75
63,Assam,2,2022,202202, 28-02-2022, M,10.15,10223787,41.9
64,Assam,3,2022,202203, 31-03-2022, M,7.69,10042536,39.98
65,Assam,4,2022,202204, 30-04-2022, M,1.18,10925256,40.55
66,Assam,5,2022,202205, 31-05-2022, M,8.24,14572896,58.13
67,Assam,6,2022,202206, 30-06-2022, M,17.19,9265409,40.87
68,Assam,7,2022,202207, 31-07-2022, M,3.69,10310079,39.03
69,Assam,9,2022,202209, 30-09-2022, M,0.41,11392110,41.54
70,Assam,10,2022,202210, 31-10-2022, M,8.11,10761798,42.44
71,Assam,11,2022,202211, 30-11-2022, M,13.21,11014737,45.9
72,Assam,12,2022,202212, 31-12-2022, M,4.74,12534922,47.49
73,Assam,1,2023,202301, 31-01-2023, M,16.13,12913935,55.46
74,Bihar,1,2020,202001, 31-01-2020, M,10.61,26397671,37.72
75,Bihar,2,2020,202002, 29-02-2020, M,10.29,26281655,37.35
76,Bihar,3,2020,202003, 31-03-2020, M,15.43,25717519,38.69
77,Bihar,4,2020,202004, 30-04-2020, M,46.64,16046236,38.17
78,Bihar,5,2020,202005, 31-05-2020, M,45.96,16280203,38.16
